ZONA,TIPO_DELITO,FECHA_INICIO,AÑO,MES,SEMANA,TOTAL_DELITOS_REAL,TOTAL_DELITOS_PREDICHO,ERROR_ABSOLUTO,ERROR_PORCENTUAL,TIPO_MODELO
García-Rovira,DELITO_SEXUAL,2022-10-10,2022,10,41,1,0.98,0.02,1.85,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-10-10,2022,10,41,2,2.0,0.0,0.08,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-10-10,2022,10,41,2,2.0,0.0,0.12,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-10-10,2022,10,41,32,28.33,3.67,11.46,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-10-10,2022,10,41,6,6.07,0.07,1.24,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-10-10,2022,10,41,8,7.78,0.22,2.81,INDIVIDUAL
Metropolitana,HURTO,2022-10-10,2022,10,41,1,1.0,0.0,0.46,POR_TIPO
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-10-10,2022,10,41,1,1.14,0.14,14.11,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-10-17,2022,10,42,3,2.82,0.18,5.85,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-10-17,2022,10,42,1,1.62,0.62,61.92,INDIVIDUAL
Soto Norte,DELITO_SEXUAL,2022-10-17,2022,10,42,1,1.01,0.01,1.12,POR_TIPO
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-10-17,2022,10,42,23,21.95,1.05,4.57,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-10-17,2022,10,42,4,4.07,0.07,1.87,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-10-17,2022,10,42,5,6.23,1.23,24.59,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-10-17,2022,10,42,51,50.59,0.41,0.8,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-10-17,2022,10,42,1,1.01,0.01,0.95,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-10-17,2022,10,42,9,8.84,0.16,1.78,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-10-17,2022,10,42,1,1.15,0.15,15.38,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-10-24,2022,10,43,26,26.1,0.1,0.38,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-10-24,2022,10,43,4,4.31,0.31,7.78,INDIVIDUAL
Yariguíes,HURTO,2022-10-24,2022,10,43,1,0.97,0.03,2.85,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-10-24,2022,10,43,2,2.17,0.17,8.47,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-10-24,2022,10,43,4,4.23,0.23,5.66,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-10-24,2022,10,43,4,5.27,1.27,31.83,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-10-24,2022,10,43,3,2.96,0.04,1.18,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-10-24,2022,10,43,36,34.46,1.54,4.29,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-10-31,2022,10,44,7,7.37,0.37,5.34,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-10-31,2022,10,44,2,2.08,0.08,4.02,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-10-31,2022,10,44,26,24.85,1.15,4.43,INDIVIDUAL
Vélez,HURTO,2022-10-31,2022,10,44,2,1.92,0.08,4.07,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-10-31,2022,10,44,4,4.05,0.05,1.21,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-10-31,2022,10,44,6,6.38,0.38,6.34,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-10-31,2022,10,44,46,47.61,1.61,3.5,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-10-31,2022,10,44,2,1.93,0.07,3.68,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-10-31,2022,10,44,13,13.44,0.44,3.39,INDIVIDUAL
Comunera,HURTO,2022-10-31,2022,10,44,1,1.0,0.0,0.06,POR_TIPO
Metropolitana,HURTO,2022-10-31,2022,10,44,1,1.0,0.0,0.18,POR_TIPO
Vélez,DELITO_SEXUAL,2022-10-31,2022,10,44,1,1.0,0.0,0.45,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-11-07,2022,11,45,8,8.66,0.66,8.3,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-11-07,2022,11,45,41,41.43,0.43,1.05,INDIVIDUAL
Yariguíes,HURTO,2022-11-07,2022,11,45,3,3.68,0.68,22.54,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-11-07,2022,11,45,15,14.83,0.17,1.11,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-11-07,2022,11,45,3,3.0,0.0,0.12,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-11-07,2022,11,45,1,1.08,0.08,8.2,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-11-07,2022,11,45,2,1.85,0.15,7.36,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-11-07,2022,11,45,4,4.4,0.4,9.95,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-11-07,2022,11,45,1,1.01,0.01,1.36,INDIVIDUAL
Metropolitana,HURTO,2022-11-07,2022,11,45,1,1.0,0.0,0.26,POR_TIPO
Guanentá,DELITO_SEXUAL,2022-11-07,2022,11,45,3,2.97,0.03,0.99,INDIVIDUAL
Comunera,HURTO,2022-11-07,2022,11,45,1,1.0,0.0,0.06,POR_TIPO
Yariguíes,HURTO,2022-11-14,2022,11,46,2,2.53,0.53,26.34,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-11-14,2022,11,46,1,2.66,1.66,166.32,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-11-14,2022,11,46,5,5.05,0.05,0.98,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-11-14,2022,11,46,11,10.85,0.15,1.32,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-11-14,2022,11,46,1,1.09,0.09,8.89,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-11-14,2022,11,46,29,28.68,0.32,1.1,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-11-14,2022,11,46,1,0.96,0.04,3.97,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-11-14,2022,11,46,2,1.87,0.13,6.56,INDIVIDUAL
Metropolitana,HURTO,2022-11-14,2022,11,46,1,1.03,0.03,3.43,POR_TIPO
Vélez,DELITO_SEXUAL,2022-11-14,2022,11,46,1,1.01,0.01,1.24,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-11-14,2022,11,46,4,3.94,0.06,1.49,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-11-14,2022,11,46,40,40.19,0.19,0.47,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-11-14,2022,11,46,6,6.72,0.72,11.95,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-11-21,2022,11,47,2,2.46,0.46,23.08,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-11-21,2022,11,47,19,18.97,0.03,0.17,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-11-21,2022,11,47,1,1.07,0.07,7.05,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-11-21,2022,11,47,2,1.93,0.07,3.66,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-11-21,2022,11,47,2,2.03,0.03,1.67,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-11-21,2022,11,47,7,9.58,2.58,36.84,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-11-21,2022,11,47,42,43.95,1.95,4.64,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-11-21,2022,11,47,1,1.07,0.07,6.92,INDIVIDUAL
Vélez,HURTO,2022-11-21,2022,11,47,1,1.02,0.02,2.29,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-11-21,2022,11,47,4,4.28,0.28,7.02,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-11-21,2022,11,47,1,1.17,0.17,17.22,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-11-21,2022,11,47,3,3.23,0.23,7.64,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-11-28,2022,11,48,15,15.46,0.46,3.09,INDIVIDUAL
Guanentá,HURTO,2022-11-28,2022,11,48,1,1.0,0.0,0.13,POR_TIPO
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-11-28,2022,11,48,1,1.09,0.09,8.99,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-11-28,2022,11,48,2,2.0,0.0,0.08,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-11-28,2022,11,48,2,2.19,0.19,9.4,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-11-28,2022,11,48,4,4.15,0.15,3.7,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-11-28,2022,11,48,1,1.06,0.06,6.25,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-11-28,2022,11,48,3,3.01,0.01,0.48,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-11-28,2022,11,48,5,4.96,0.04,0.79,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-11-28,2022,11,48,44,45.5,1.5,3.41,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-11-28,2022,11,48,5,5.11,0.11,2.11,INDIVIDUAL
Vélez,HURTO,2022-12-05,2022,12,49,1,0.98,0.02,1.66,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-12-05,2022,12,49,17,16.91,0.09,0.55,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-12-05,2022,12,49,4,4.38,0.38,9.49,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-12-05,2022,12,49,2,2.04,0.04,1.84,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-12-05,2022,12,49,40,42.05,2.05,5.14,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-12-05,2022,12,49,1,0.98,0.02,2.16,INDIVIDUAL
Soto Norte,DELITO_SEXUAL,2022-12-05,2022,12,49,1,1.01,0.01,1.12,POR_TIPO
Vélez,DELITO_SEXUAL,2022-12-05,2022,12,49,1,1.01,0.01,0.85,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-12-05,2022,12,49,6,6.72,0.72,12.0,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-12-12,2022,12,50,17,17.77,0.77,4.52,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-12-12,2022,12,50,1,1.06,0.06,6.31,INDIVIDUAL
Soto Norte,HURTO,2022-12-12,2022,12,50,1,1.0,0.0,0.03,POR_TIPO
Vélez,DELITO_SEXUAL,2022-12-12,2022,12,50,2,2.01,0.01,0.35,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-12-12,2022,12,50,3,5.7,2.7,89.85,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-12-12,2022,12,50,4,4.24,0.24,6.12,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-12-12,2022,12,50,1,1.0,0.0,0.06,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-12-12,2022,12,50,28,30.36,2.36,8.41,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-12-12,2022,12,50,2,2.12,0.12,5.81,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-12-12,2022,12,50,1,1.66,0.66,65.81,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-12-19,2022,12,51,4,4.03,0.03,0.81,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-12-19,2022,12,51,8,7.35,0.65,8.11,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-12-19,2022,12,51,1,1.0,0.0,0.22,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-12-19,2022,12,51,1,1.28,0.28,28.38,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-12-19,2022,12,51,13,13.65,0.65,5.02,INDIVIDUAL
Vélez,HURTO,2022-12-19,2022,12,51,2,1.86,0.14,7.12,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-12-19,2022,12,51,31,33.49,2.49,8.03,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-12-19,2022,12,51,1,1.02,0.02,2.16,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-12-19,2022,12,51,2,2.81,0.81,40.25,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-12-19,2022,12,51,1,1.32,0.32,32.38,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-12-19,2022,12,51,3,3.03,0.03,1.13,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-12-26,2022,12,52,5,5.11,0.11,2.27,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-12-26,2022,12,52,2,2.55,0.55,27.5,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,3,2.98,0.02,0.81,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-12-26,2022,12,52,4,5.38,1.38,34.61,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,3,3.43,0.43,14.36,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-12-26,2022,12,52,4,5.5,1.5,37.38,INDIVIDUAL
Yariguíes,HURTO,2022-12-26,2022,12,52,1,1.04,0.04,3.95,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,15,15.47,0.47,3.11,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,14,15.75,1.75,12.52,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-12-26,2022,12,52,1,1.0,0.0,0.26,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,4,3.9,0.1,2.45,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,1,1.05,0.05,4.86,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-12-26,2022,12,52,2,1.95,0.05,2.32,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-12-26,2022,12,52,2,2.59,0.59,29.49,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,14,15.21,1.21,8.63,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-12-26,2022,12,52,6,7.09,1.09,18.22,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-12-26,2022,12,52,1,1.01,0.01,1.17,INDIVIDUAL
Vélez,HURTO,2022-12-26,2022,12,52,1,0.92,0.08,8.47,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-01-02,2023,1,1,23,27.02,4.02,17.5,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-01-02,2023,1,1,17,11.19,5.81,34.2,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-01-02,2023,1,1,17,17.67,0.67,3.96,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2023-01-02,2023,1,1,2,1.98,0.02,1.25,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-01-02,2023,1,1,5,6.05,1.05,20.92,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-01-02,2023,1,1,6,5.94,0.06,1.03,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-01-02,2023,1,1,2,2.11,0.11,5.39,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-01-02,2023,1,1,6,6.19,0.19,3.09,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-01-09,2023,1,2,10,11.91,1.91,19.05,INDIVIDUAL
Yariguíes,HURTO,2023-01-09,2023,1,2,2,2.62,0.62,30.76,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-01-09,2023,1,2,25,27.97,2.97,11.86,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-01-09,2023,1,2,3,3.22,0.22,7.26,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-01-09,2023,1,2,2,2.56,0.56,27.9,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-01-09,2023,1,2,6,6.89,0.89,14.9,INDIVIDUAL
Soto Norte,DELITO_SEXUAL,2023-01-09,2023,1,2,1,1.02,0.02,1.51,POR_TIPO
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2023-01-09,2023,1,2,2,1.97,0.03,1.42,INDIVIDUAL
Comunera,HURTO,2023-01-09,2023,1,2,1,1.0,0.0,0.08,POR_TIPO
Guanentá,DELITO_SEXUAL,2023-01-09,2023,1,2,3,2.84,0.16,5.48,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-01-09,2023,1,2,2,2.91,0.91,45.45,INDIVIDUAL
Vélez,DELITO_SEXUAL,2023-01-09,2023,1,2,4,3.92,0.08,2.03,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-01-09,2023,1,2,23,22.45,0.55,2.4,INDIVIDUAL
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2023-01-16,2023,1,3,1,1.48,0.48,48.03,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-01-16,2023,1,3,43,50.33,7.33,17.06,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-01-16,2023,1,3,7,7.85,0.85,12.15,INDIVIDUAL
Yariguíes,HURTO,2023-01-16,2023,1,3,1,0.87,0.13,12.7,INDIVIDUAL
Vélez,HURTO,2023-01-16,2023,1,3,1,0.97,0.03,3.48,INDIVIDUAL
García-Rovira,HURTO,2023-01-16,2023,1,3,2,1.98,0.02,0.8,POR_TIPO
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-01-16,2023,1,3,5,5.0,0.0,0.03,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-01-16,2023,1,3,14,13.83,0.17,1.18,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2023-01-16,2023,1,3,4,3.67,0.33,8.3,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-01-16,2023,1,3,7,8.99,1.99,28.48,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2023-01-16,2023,1,3,3,2.87,0.13,4.36,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-01-16,2023,1,3,3,3.08,0.08,2.53,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-01-16,2023,1,3,3,3.06,0.06,1.96,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-01-23,2023,1,4,26,21.39,4.61,17.75,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-01-23,2023,1,4,2,1.98,0.02,1.19,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-01-23,2023,1,4,4,3.77,0.23,5.63,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2023-01-23,2023,1,4,1,0.98,0.02,2.03,INDIVIDUAL
Vélez,DELITO_SEXUAL,2023-01-23,2023,1,4,2,2.02,0.02,0.91,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-01-23,2023,1,4,6,9.62,3.62,60.27,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-01-23,2023,1,4,48,52.37,4.37,9.11,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2023-01-23,2023,1,4,1,0.99,0.01,1.18,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-01-23,2023,1,4,1,0.85,0.15,14.62,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-01-23,2023,1,4,4,4.38,0.38,9.53,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2023-01-30,2023,1,5,3,3.66,0.66,21.93,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-01-30,2023,1,5,30,28.34,1.66,5.52,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-01-30,2023,1,5,6,5.49,0.51,8.57,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-01-30,2023,1,5,2,1.96,0.04,1.79,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-01-30,2023,1,5,7,6.98,0.02,0.3,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-01-30,2023,1,5,37,42.6,5.6,15.14,INDIVIDUAL
Vélez,DELITO_SEXUAL,2023-01-30,2023,1,5,1,1.03,0.03,2.51,INDIVIDUAL
Comunera,DELITO_SEXUAL,2023-01-30,2023,1,5,2,2.08,0.08,4.19,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-01-30,2023,1,5,1,1.18,0.18,17.74,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-01-30,2023,1,5,5,5.34,0.34,6.74,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2023-02-06,2023,2,6,1,1.01,0.01,1.3,INDIVIDUAL
Vélez,DELITO_SEXUAL,2023-02-06,2023,2,6,1,0.98,0.02,1.8,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-02-06,2023,2,6,3,2.87,0.13,4.38,INDIVIDUAL
Comunera,DELITO_SEXUAL,2023-02-06,2023,2,6,1,0.97,0.03,2.85,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-02-06,2023,2,6,7,8.25,1.25,17.79,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-02-06,2023,2,6,4,4.51,0.51,12.67,INDIVIDUAL
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2023-02-06,2023,2,6,1,1.05,0.05,5.0,INDIVIDUAL
Yariguíes,HURTO,2023-02-06,2023,2,6,1,0.79,0.21,21.4,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-02-06,2023,2,6,51,51.9,0.9,1.77,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-02-06,2023,2,6,21,21.43,0.43,2.05,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-02-06,2023,2,6,11,10.83,0.17,1.53,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-02-13,2023,2,7,10,10.16,0.16,1.6,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-02-13,2023,2,7,9,8.89,0.11,1.19,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-02-13,2023,2,7,5,4.85,0.15,3.06,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-02-13,2023,2,7,25,25.56,0.56,2.23,INDIVIDUAL
Yariguíes,HURTO,2023-02-13,2023,2,7,2,2.01,0.01,0.34,INDIVIDUAL
Soto Norte,DELITO_SEXUAL,2023-02-13,2023,2,7,1,1.01,0.01,1.2,POR_TIPO
Yariguíes,DELITO_SEXUAL,2023-02-13,2023,2,7,5,4.44,0.56,11.16,INDIVIDUAL
Comunera,DELITO_SEXUAL,2023-02-13,2023,2,7,1,1.03,0.03,2.71,INDIVIDUAL
Vélez,DELITO_SEXUAL,2023-02-13,2023,2,7,1,0.99,0.01,0.68,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-02-13,2023,2,7,6,5.98,0.02,0.37,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-02-13,2023,2,7,46,46.71,0.71,1.54,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2023-02-13,2023,2,7,6,4.39,1.61,26.78,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2023-02-13,2023,2,7,4,3.93,0.07,1.72,INDIVIDUAL
Soto Norte,DELITO_SEXUAL,2023-02-20,2023,2,8,1,1.01,0.01,1.2,POR_TIPO
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2023-02-20,2023,2,8,1,1.11,0.11,10.98,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-02-20,2023,2,8,11,10.38,0.62,5.63,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2023-02-20,2023,2,8,6,6.11,0.11,1.9,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-02-20,2023,2,8,2,2.28,0.28,14.18,INDIVIDUAL
Comunera,DELITO_SEXUAL,2023-02-20,2023,2,8,2,1.97,0.03,1.27,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2023-02-20,2023,2,8,2,2.15,0.15,7.51,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2023-02-20,2023,2,8,34,32.58,1.42,4.18,INDIVIDUAL
Vélez,DELITO_SEXUAL,2023-02-20,2023,2,8,2,2.08,0.08,3.81,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2023-02-20,2023,2,8,2,1.99,0.01,0.53,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-02-20,2023,2,8,4,4.32,0.32,8.07,INDIVIDUAL
García-Rovira,DELITO_SEXUAL,2023-02-20,2023,2,8,1,1.0,0.0,0.28,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-02-20,2023,2,8,20,20.01,0.01,0.03,INDIVIDUAL
Vélez,DELITO_SEXUAL,2023-02-27,2023,2,9,1,0.98,0.02,1.59,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2023-02-27,2023,2,9,4,3.82,0.18,4.48,INDIVIDUAL
Vélez,HURTO,2023-02-27,2023,2,9,1,1.08,0.08,8.2,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2023-02-27,2023,2,9,13,13.85,0.85,6.57,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2023-02-27,2023,2,9,10,7.42,2.58,25.76,INDIVIDUAL
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2023-02-27,2023,2,9,1,1.1,0.1,10.18,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2023-02-27,2023,2,9,28,27.97,0.03,0.11,INDIVIDUAL
